gallery_threshold,gallery_size,best_step,recall_at_1,recall_at_1_ci,balanced_accuracy,balanced_accuracy_ci,harmonic_mean,n_seeds
0.0000,2,130,0.3066,0.0606,0.5234,0.0333,0.3867,8
0.0000,4,60,0.3905,0.0551,0.5269,0.0502,0.4486,8
0.0000,8,90,0.4694,0.0614,0.5530,0.0304,0.5078,8
0.0000,16,290,0.5313,0.0277,0.5341,0.0268,0.5327,8
0.0000,32,200,0.5711,0.0271,0.5015,0.0074,0.5340,8
0.0000,64,180,0.5984,0.0402,0.5001,0.0018,0.5448,8
0.2500,2,270,0.2671,0.0416,0.5002,0.0156,0.3482,8
0.2500,4,80,0.3289,0.0410,0.5141,0.0335,0.4011,8
0.2500,8,250,0.4590,0.0452,0.5814,0.0121,0.5130,8
0.2500,16,150,0.4930,0.0422,0.5298,0.0169,0.5107,8
0.2500,32,280,0.5092,0.0398,0.5145,0.0135,0.5118,8
0.2500,64,250,0.5764,0.0241,0.5027,0.0067,0.5370,8
0.5000,2,200,0.2465,0.0660,0.5260,0.0180,0.3357,8
0.5000,4,40,0.3350,0.0628,0.5642,0.0289,0.4204,8
0.5000,8,290,0.4011,0.0568,0.5519,0.0334,0.4646,8
0.5000,16,280,0.4412,0.0393,0.5462,0.0168,0.4881,8
0.5000,32,210,0.5102,0.0230,0.5221,0.0136,0.5161,8
0.5000,64,210,0.5508,0.0207,0.5140,0.0046,0.5318,8
