gallery_threshold,gallery_size,best_step,recall_at_1,recall_at_1_ci,balanced_accuracy,balanced_accuracy_ci,harmonic_mean,n_seeds
0.0000,2,80,0.3568,0.0589,0.5232,0.0190,0.4243,8
0.0000,4,300,0.4401,0.0283,0.5563,0.0179,0.4914,8
0.0000,8,260,0.5102,0.0203,0.5915,0.0175,0.5479,8
0.0000,16,220,0.5605,0.0220,0.6402,0.0227,0.5977,8
0.0000,32,280,0.5843,0.0251,0.6245,0.0382,0.6037,8
0.0000,64,290,0.6197,0.0361,0.6358,0.0303,0.6277,8
0.2500,2,260,0.3348,0.0458,0.5192,0.0094,0.4071,8
0.2500,4,100,0.4136,0.0374,0.5372,0.0176,0.4674,8
0.2500,8,40,0.4820,0.0187,0.5898,0.0221,0.5304,8
0.2500,16,220,0.5231,0.0261,0.6200,0.0147,0.5674,8
0.2500,32,290,0.5312,0.0280,0.6292,0.0144,0.5761,8
0.2500,64,220,0.5702,0.0167,0.6395,0.0106,0.6028,8
0.5000,2,50,0.2954,0.0784,0.5099,0.0097,0.3741,8
0.5000,4,20,0.3899,0.0591,0.5319,0.0105,0.4499,8
0.5000,8,300,0.4492,0.0451,0.5602,0.0251,0.4986,8
0.5000,16,20,0.4761,0.0411,0.5240,0.0450,0.4989,8
0.5000,32,120,0.5385,0.0245,0.6091,0.0279,0.5716,8
0.5000,64,270,0.5771,0.0212,0.6368,0.0238,0.6055,8
