gallery_threshold,gallery_size,best_step,recall_at_1,recall_at_1_ci,balanced_accuracy,balanced_accuracy_ci,harmonic_mean,n_seeds
0.0000,2,210,0.3856,0.0519,0.5218,0.0085,0.4435,8
0.0000,4,50,0.4696,0.0385,0.5333,0.0100,0.4994,8
0.0000,8,40,0.5405,0.0567,0.5758,0.0149,0.5576,8
0.0000,16,290,0.5621,0.0447,0.5967,0.0170,0.5789,8
0.0000,32,40,0.5952,0.0304,0.5151,0.0218,0.5523,8
0.0000,64,160,0.6031,0.0296,0.5722,0.0185,0.5873,8
0.2500,2,280,0.3478,0.0639,0.5142,0.0075,0.4149,8
0.2500,4,290,0.4253,0.0663,0.5243,0.0108,0.4696,8
0.2500,8,120,0.4739,0.0331,0.5403,0.0095,0.5050,8
0.2500,16,20,0.5268,0.0310,0.5514,0.0275,0.5388,8
0.2500,32,50,0.5182,0.0442,0.5624,0.0301,0.5394,8
0.2500,64,40,0.5758,0.0145,0.5012,0.0277,0.5359,8
0.5000,2,80,0.3453,0.0735,0.5121,0.0093,0.4125,8
0.5000,4,220,0.4119,0.0550,0.5240,0.0069,0.4612,8
0.5000,8,20,0.4397,0.0423,0.5529,0.0304,0.4898,8
0.5000,16,30,0.4670,0.0310,0.5920,0.0369,0.5221,8
0.5000,32,30,0.5186,0.0419,0.5347,0.0464,0.5265,8
0.5000,64,20,0.5516,0.0125,0.4942,0.0107,0.5213,8
