gallery_threshold,gallery_size,best_epoch,recall_at_1,recall_at_1_ci,balanced_accuracy,balanced_accuracy_ci,harmonic_mean,n_seeds
0.0000,2,48,0.4200,0.0688,0.5004,0.0040,0.4566,8
0.0000,4,13,0.5093,0.0713,0.5521,0.0426,0.5298,8
0.0000,8,18,0.5708,0.0633,0.5605,0.0515,0.5656,8
0.0000,16,41,0.6819,0.0533,0.5903,0.0363,0.6328,8
0.0000,32,43,0.7473,0.0465,0.7157,0.0373,0.7311,8
0.0000,64,50,0.7518,0.0450,0.7041,0.0487,0.7272,8
0.1000,2,47,0.3882,0.1377,0.5040,0.0051,0.4386,8
0.1000,4,50,0.5221,0.1211,0.5236,0.0174,0.5228,8
0.1000,8,20,0.6082,0.0603,0.5670,0.0360,0.5869,8
0.1000,16,29,0.6645,0.0395,0.6378,0.0434,0.6509,8
0.1000,32,44,0.7250,0.0306,0.6695,0.0237,0.6961,8
0.1000,64,45,0.7397,0.0360,0.7034,0.0421,0.7211,8
0.2000,2,50,0.4383,0.1044,0.5019,0.0032,0.4680,8
0.2000,4,50,0.5153,0.0468,0.5201,0.0256,0.5177,8
0.2000,8,37,0.5835,0.0275,0.5746,0.0268,0.5790,8
0.2000,16,38,0.6584,0.0351,0.6274,0.0575,0.6425,8
0.2000,32,37,0.6975,0.0307,0.6845,0.0410,0.6910,8
0.2000,64,33,0.7168,0.0222,0.6886,0.0101,0.7024,8
0.3000,2,48,0.3349,0.1611,0.5043,0.0035,0.4025,8
0.3000,4,48,0.5392,0.0512,0.5182,0.0144,0.5285,8
0.3000,8,43,0.5524,0.0976,0.5789,0.0366,0.5654,8
0.3000,16,32,0.6158,0.0828,0.6492,0.0425,0.6320,8
0.3000,32,43,0.6593,0.0597,0.6686,0.0392,0.6639,8
0.3000,64,35,0.7027,0.0407,0.6927,0.0185,0.6977,8
0.4000,2,39,0.3617,0.0910,0.5010,0.0042,0.4201,8
0.4000,4,49,0.4513,0.1140,0.5294,0.0208,0.4873,8
0.4000,8,46,0.5722,0.0881,0.5583,0.0392,0.5652,8
0.4000,16,37,0.6743,0.0542,0.6541,0.0466,0.6641,8
0.4000,32,49,0.7002,0.0463,0.6887,0.0389,0.6944,8
0.4000,64,49,0.7201,0.0260,0.6887,0.0281,0.7041,8
0.5000,2,12,0.4084,0.1439,0.5220,0.0295,0.4583,8
0.5000,4,22,0.5073,0.0919,0.5239,0.0258,0.5155,8
0.5000,8,15,0.5668,0.0942,0.5837,0.0363,0.5751,8
0.5000,16,18,0.6610,0.0618,0.6436,0.0594,0.6521,8
0.5000,32,39,0.6934,0.0495,0.6915,0.0166,0.6925,8
0.5000,64,43,0.7207,0.0221,0.6937,0.0318,0.7070,8
