backbone,gallery_size,gallery_q,query_q,BA (95% CI),best_step,seeds
Frozen DINOv3-ViT-B/16,2,0.00,0.0,0.5232 (±0.0190),80,8
Frozen DINOv3-ViT-B/16,2,0.00,0.25,0.5578 (±0.0760),10,8
Frozen DINOv3-ViT-B/16,2,0.00,0.5,0.5706 (±0.0559),30,8
Frozen DINOv3-ViT-B/16,2,0.25,0.0,0.5192 (±0.0094),260,8
Frozen DINOv3-ViT-B/16,2,0.25,0.25,0.5428 (±0.0231),280,8
Frozen DINOv3-ViT-B/16,2,0.25,0.5,0.5486 (±0.0270),270,8
Frozen DINOv3-ViT-B/16,2,0.50,0.0,0.5099 (±0.0097),50,8
Frozen DINOv3-ViT-B/16,2,0.50,0.25,0.6191 (±0.0342),10,8
Frozen DINOv3-ViT-B/16,2,0.50,0.5,0.6353 (±0.0508),10,8
Frozen DINOv3-ViT-B/16,4,0.00,0.0,0.5563 (±0.0179),300,8
Frozen DINOv3-ViT-B/16,4,0.00,0.25,0.5808 (±0.0256),280,8
Frozen DINOv3-ViT-B/16,4,0.00,0.5,0.6136 (±0.0361),130,8
Frozen DINOv3-ViT-B/16,4,0.25,0.0,0.5372 (±0.0176),100,8
Frozen DINOv3-ViT-B/16,4,0.25,0.25,0.5945 (±0.0391),140,8
Frozen DINOv3-ViT-B/16,4,0.25,0.5,0.6191 (±0.0493),230,8
Frozen DINOv3-ViT-B/16,4,0.50,0.0,0.5319 (±0.0105),20,8
Frozen DINOv3-ViT-B/16,4,0.50,0.25,0.6050 (±0.0299),20,8
Frozen DINOv3-ViT-B/16,4,0.50,0.5,0.6380 (±0.0402),20,8
Frozen DINOv3-ViT-B/16,8,0.00,0.0,0.5915 (±0.0175),260,8
Frozen DINOv3-ViT-B/16,8,0.00,0.25,0.6418 (±0.0222),260,8
Frozen DINOv3-ViT-B/16,8,0.00,0.5,0.6672 (±0.0260),260,8
Frozen DINOv3-ViT-B/16,8,0.25,0.0,0.5898 (±0.0221),40,8
Frozen DINOv3-ViT-B/16,8,0.25,0.25,0.6775 (±0.0285),220,8
Frozen DINOv3-ViT-B/16,8,0.25,0.5,0.6090 (±0.0405),20,8
Frozen DINOv3-ViT-B/16,8,0.50,0.0,0.5602 (±0.0251),300,8
Frozen DINOv3-ViT-B/16,8,0.50,0.25,0.6516 (±0.0318),100,8
Frozen DINOv3-ViT-B/16,8,0.50,0.5,0.7028 (±0.0313),70,8
Frozen DINOv3-ViT-B/16,16,0.00,0.0,0.6402 (±0.0227),220,8
Frozen DINOv3-ViT-B/16,16,0.00,0.25,0.6896 (±0.0202),210,8
Frozen DINOv3-ViT-B/16,16,0.00,0.5,0.6932 (±0.0347),260,8
Frozen DINOv3-ViT-B/16,16,0.25,0.0,0.6200 (±0.0147),220,8
Frozen DINOv3-ViT-B/16,16,0.25,0.25,0.7063 (±0.0268),80,8
Frozen DINOv3-ViT-B/16,16,0.25,0.5,0.7495 (±0.0262),110,8
Frozen DINOv3-ViT-B/16,16,0.50,0.0,0.5240 (±0.0450),20,8
Frozen DINOv3-ViT-B/16,16,0.50,0.25,0.6805 (±0.0273),150,8
Frozen DINOv3-ViT-B/16,16,0.50,0.5,0.7485 (±0.0154),260,8
Frozen DINOv3-ViT-B/16,32,0.00,0.0,0.6245 (±0.0382),280,8
Frozen DINOv3-ViT-B/16,32,0.00,0.25,0.5708 (±0.0438),40,8
Frozen DINOv3-ViT-B/16,32,0.00,0.5,0.5651 (±0.0437),40,8
Frozen DINOv3-ViT-B/16,32,0.25,0.0,0.6292 (±0.0144),290,8
Frozen DINOv3-ViT-B/16,32,0.25,0.25,0.7108 (±0.0247),120,8
Frozen DINOv3-ViT-B/16,32,0.25,0.5,0.7561 (±0.0283),120,8
Frozen DINOv3-ViT-B/16,32,0.50,0.0,0.6091 (±0.0279),120,8
Frozen DINOv3-ViT-B/16,32,0.50,0.25,0.7355 (±0.0146),240,8
Frozen DINOv3-ViT-B/16,32,0.50,0.5,0.7862 (±0.0195),240,8
Frozen DINOv3-ViT-B/16,64,0.00,0.0,0.6358 (±0.0303),290,8
Frozen DINOv3-ViT-B/16,64,0.00,0.25,0.6621 (±0.0414),170,8
Frozen DINOv3-ViT-B/16,64,0.00,0.5,0.6268 (±0.0240),130,8
Frozen DINOv3-ViT-B/16,64,0.25,0.0,0.6395 (±0.0106),220,8
Frozen DINOv3-ViT-B/16,64,0.25,0.25,0.7060 (±0.0379),220,8
Frozen DINOv3-ViT-B/16,64,0.25,0.5,0.7240 (±0.0484),180,8
Frozen DINOv3-ViT-B/16,64,0.50,0.0,0.6368 (±0.0238),270,8
Frozen DINOv3-ViT-B/16,64,0.50,0.25,0.7417 (±0.0346),270,8
Frozen DINOv3-ViT-B/16,64,0.50,0.5,0.7990 (±0.0298),270,8
Frozen MegaDescriptor-L-384,2,0.00,0.0,0.5218 (±0.0085),210,8
Frozen MegaDescriptor-L-384,2,0.00,0.25,0.5463 (±0.0236),90,8
Frozen MegaDescriptor-L-384,2,0.00,0.5,0.5609 (±0.0464),90,8
Frozen MegaDescriptor-L-384,2,0.25,0.0,0.5142 (±0.0075),280,8
Frozen MegaDescriptor-L-384,2,0.25,0.25,0.5460 (±0.0294),220,8
Frozen MegaDescriptor-L-384,2,0.25,0.5,0.5625 (±0.0434),220,8
Frozen MegaDescriptor-L-384,2,0.50,0.0,0.5121 (±0.0093),80,8
Frozen MegaDescriptor-L-384,2,0.50,0.25,0.5251 (±0.0189),180,8
Frozen MegaDescriptor-L-384,2,0.50,0.5,0.5387 (±0.0359),290,8
Frozen MegaDescriptor-L-384,4,0.00,0.0,0.5333 (±0.0100),50,8
Frozen MegaDescriptor-L-384,4,0.00,0.25,0.5751 (±0.0237),30,8
Frozen MegaDescriptor-L-384,4,0.00,0.5,0.5948 (±0.0488),30,8
Frozen MegaDescriptor-L-384,4,0.25,0.0,0.5243 (±0.0108),290,8
Frozen MegaDescriptor-L-384,4,0.25,0.25,0.5747 (±0.0214),90,8
Frozen MegaDescriptor-L-384,4,0.25,0.5,0.5857 (±0.0351),90,8
Frozen MegaDescriptor-L-384,4,0.50,0.0,0.5240 (±0.0069),220,8
Frozen MegaDescriptor-L-384,4,0.50,0.25,0.5641 (±0.0192),220,8
Frozen MegaDescriptor-L-384,4,0.50,0.5,0.6114 (±0.0412),10,8
Frozen MegaDescriptor-L-384,8,0.00,0.0,0.5758 (±0.0149),40,8
Frozen MegaDescriptor-L-384,8,0.00,0.25,0.6225 (±0.0297),290,8
Frozen MegaDescriptor-L-384,8,0.00,0.5,0.6513 (±0.0435),290,8
Frozen MegaDescriptor-L-384,8,0.25,0.0,0.5403 (±0.0095),120,8
Frozen MegaDescriptor-L-384,8,0.25,0.25,0.6425 (±0.0277),130,8
Frozen MegaDescriptor-L-384,8,0.25,0.5,0.6848 (±0.0364),130,8
Frozen MegaDescriptor-L-384,8,0.50,0.0,0.5529 (±0.0304),20,8
Frozen MegaDescriptor-L-384,8,0.50,0.25,0.6061 (±0.0437),290,8
Frozen MegaDescriptor-L-384,8,0.50,0.5,0.6382 (±0.0515),290,8
Frozen MegaDescriptor-L-384,16,0.00,0.0,0.5967 (±0.0170),290,8
Frozen MegaDescriptor-L-384,16,0.00,0.25,0.6622 (±0.0335),240,8
Frozen MegaDescriptor-L-384,16,0.00,0.5,0.6931 (±0.0466),240,8
Frozen MegaDescriptor-L-384,16,0.25,0.0,0.5514 (±0.0275),20,8
Frozen MegaDescriptor-L-384,16,0.25,0.25,0.7038 (±0.0471),220,8
Frozen MegaDescriptor-L-384,16,0.25,0.5,0.7298 (±0.0478),220,8
Frozen MegaDescriptor-L-384,16,0.50,0.0,0.5920 (±0.0369),30,8
Frozen MegaDescriptor-L-384,16,0.50,0.25,0.7009 (±0.0591),30,8
Frozen MegaDescriptor-L-384,16,0.50,0.5,0.7175 (±0.0720),30,8
Frozen MegaDescriptor-L-384,32,0.00,0.0,0.5151 (±0.0218),40,8
Frozen MegaDescriptor-L-384,32,0.00,0.25,0.7027 (±0.0263),130,8
