gallery_threshold,gallery_size,best_epoch,recall_at_1,recall_at_1_ci,balanced_accuracy,balanced_accuracy_ci,harmonic_mean,n_seeds
0.0000,2,11,0.3651,0.0883,0.5242,0.0268,0.4304,8
0.0000,4,17,0.4406,0.0751,0.5344,0.0191,0.4830,8
0.0000,8,50,0.5616,0.0362,0.5051,0.0032,0.5319,8
0.0000,16,50,0.6316,0.0413,0.5279,0.0141,0.5751,8
0.0000,32,50,0.6234,0.0681,0.6061,0.0507,0.6146,8
0.0000,64,50,0.6399,0.0361,0.6371,0.0125,0.6385,8
0.1000,2,50,0.3267,0.1187,0.4998,0.0004,0.3951,8
0.1000,4,44,0.4194,0.1001,0.4999,0.0022,0.4561,8
0.1000,8,34,0.4640,0.0836,0.5173,0.0157,0.4892,8
0.1000,16,36,0.5308,0.0726,0.5974,0.0327,0.5622,8
0.1000,32,50,0.5697,0.0314,0.6204,0.0456,0.5940,8
0.1000,64,46,0.5886,0.0333,0.6024,0.0288,0.5955,8
0.2000,2,20,0.3482,0.1248,0.5009,0.0009,0.4108,8
0.2000,4,50,0.4226,0.0722,0.5011,0.0012,0.4585,8
0.2000,8,50,0.4822,0.0527,0.5067,0.0031,0.4942,8
0.2000,16,42,0.5546,0.0637,0.5743,0.0275,0.5643,8
0.2000,32,50,0.5940,0.0353,0.5960,0.0226,0.5950,8
0.2000,64,50,0.5916,0.0423,0.6456,0.0184,0.6174,8
0.3000,2,13,0.3502,0.1078,0.5097,0.0094,0.4151,8
0.3000,4,25,0.4898,0.0464,0.5024,0.0027,0.4960,8
0.3000,8,43,0.5040,0.0721,0.5114,0.0114,0.5077,8
0.3000,16,49,0.5344,0.0561,0.5658,0.0223,0.5496,8
0.3000,32,50,0.5867,0.0332,0.6213,0.0281,0.6035,8
0.3000,64,50,0.6071,0.0238,0.6377,0.0229,0.6220,8
0.4000,2,18,0.3917,0.0924,0.5014,0.0025,0.4398,8
0.4000,4,12,0.4093,0.1088,0.5412,0.0202,0.4661,8
0.4000,8,27,0.4965,0.0636,0.5187,0.0204,0.5074,8
0.4000,16,30,0.5795,0.0538,0.5829,0.0453,0.5812,8
0.4000,32,50,0.5906,0.0394,0.5785,0.0444,0.5845,8
0.4000,64,49,0.5934,0.0497,0.6195,0.0352,0.6062,8
0.5000,2,7,0.3200,0.0725,0.5412,0.0284,0.4022,8
0.5000,4,50,0.4220,0.0888,0.5011,0.0014,0.4582,8
0.5000,8,27,0.4911,0.0634,0.5314,0.0157,0.5104,8
0.5000,16,50,0.5666,0.0637,0.5426,0.0309,0.5543,8
0.5000,32,50,0.6351,0.0327,0.5902,0.0503,0.6118,8
0.5000,64,50,0.6329,0.0229,0.6388,0.0302,0.6358,8
