gallery_threshold,gallery_size,best_epoch,recall_at_1,recall_at_1_ci,balanced_accuracy,balanced_accuracy_ci,harmonic_mean,n_seeds
0.0000,2,35,0.4265,0.0784,0.5015,0.0035,0.4609,8
0.0000,4,14,0.5107,0.0662,0.5165,0.0201,0.5136,8
0.0000,8,27,0.5791,0.0568,0.5214,0.0241,0.5487,8
0.0000,16,43,0.6825,0.0552,0.5788,0.0424,0.6264,8
0.0000,32,50,0.7443,0.0423,0.6814,0.0424,0.7114,8
0.0000,64,37,0.7532,0.0339,0.6919,0.0324,0.7212,8
0.1000,2,49,0.3817,0.1449,0.5037,0.0043,0.4343,8
0.1000,4,50,0.5181,0.1282,0.5183,0.0138,0.5182,8
0.1000,8,20,0.6105,0.0615,0.5725,0.0422,0.5909,8
0.1000,16,23,0.6710,0.0294,0.6589,0.0353,0.6649,8
0.1000,32,43,0.7225,0.0341,0.6606,0.0285,0.6902,8
0.1000,64,44,0.7430,0.0400,0.6975,0.0408,0.7195,8
0.2000,2,50,0.4346,0.0894,0.5044,0.0071,0.4669,8
0.2000,4,34,0.5104,0.0412,0.5160,0.0217,0.5132,8
0.2000,8,39,0.5886,0.0295,0.5544,0.0237,0.5710,8
0.2000,16,44,0.6672,0.0356,0.5907,0.0467,0.6266,8
0.2000,32,39,0.6993,0.0353,0.6772,0.0436,0.6881,8
0.2000,64,35,0.7252,0.0201,0.7018,0.0164,0.7133,8
0.3000,2,36,0.3303,0.1473,0.5029,0.0026,0.3987,8
0.3000,4,34,0.5397,0.0536,0.5177,0.0171,0.5285,8
0.3000,8,27,0.5507,0.0975,0.5802,0.0267,0.5651,8
0.3000,16,35,0.6193,0.0779,0.6263,0.0304,0.6228,8
0.3000,32,38,0.6586,0.0658,0.7005,0.0285,0.6789,8
0.3000,64,35,0.7097,0.0410,0.6989,0.0194,0.7043,8
0.4000,2,50,0.3592,0.0836,0.5003,0.0022,0.4182,8
0.4000,4,49,0.4624,0.1261,0.5256,0.0166,0.4920,8
0.4000,8,26,0.5703,0.0724,0.5578,0.0356,0.5640,8
0.4000,16,27,0.6778,0.0512,0.6755,0.0488,0.6766,8
0.4000,32,50,0.7027,0.0436,0.6851,0.0400,0.6938,8
0.4000,64,47,0.7302,0.0274,0.7055,0.0309,0.7177,8
0.5000,2,9,0.4074,0.1512,0.5597,0.0540,0.4716,8
0.5000,4,13,0.5011,0.0911,0.5340,0.0333,0.5170,8
0.5000,8,15,0.5646,0.0954,0.5742,0.0431,0.5693,8
0.5000,16,17,0.6632,0.0615,0.6447,0.0560,0.6538,8
0.5000,32,36,0.6868,0.0535,0.6980,0.0218,0.6924,8
0.5000,64,30,0.7210,0.0260,0.6928,0.0309,0.7066,8
