gallery_threshold,gallery_size,best_epoch,recall_at_1,recall_at_1_ci,balanced_accuracy,balanced_accuracy_ci,harmonic_mean,n_seeds
0.0000,2,2,0.3603,0.0853,0.5337,0.0410,0.4302,8
0.0000,4,2,0.4970,0.0837,0.5677,0.0487,0.5300,7
0.0000,8,37,0.6194,0.0662,0.5045,0.0079,0.5561,8
0.0000,16,18,0.6857,0.0516,0.6225,0.0469,0.6526,8
0.0000,32,50,0.7085,0.1071,0.6287,0.0853,0.6662,4
0.0000,64,38,0.7520,0.0252,0.6516,0.0370,0.6982,7
0.1000,2,16,0.3934,0.0950,0.5018,0.0049,0.4410,8
0.1000,4,49,0.5174,0.0847,0.5038,0.0038,0.5105,8
0.1000,8,10,0.5560,0.1006,0.6024,0.0566,0.5782,6
0.1000,16,19,0.6746,0.0451,0.6452,0.0387,0.6596,6
0.1000,32,20,0.7228,0.0895,0.6336,0.0602,0.6753,4
0.1000,64,23,0.7575,0.0509,0.6193,0.0415,0.6815,4
0.2000,2,50,0.4310,0.0986,0.5024,0.0026,0.4640,8
0.2000,4,16,0.5900,0.0481,0.5113,0.0211,0.5478,6
0.2000,8,13,0.4980,0.1273,0.5580,0.0542,0.5263,5
0.2000,16,7,0.6284,0.0563,0.5873,0.0292,0.6072,8
0.2000,32,18,0.7052,0.0349,0.6219,0.0405,0.6610,7
0.2000,64,24,0.7006,0.0415,0.6130,0.0267,0.6539,8
0.3000,2,48,0.3465,0.1237,0.5002,0.0007,0.4094,8
0.3000,4,30,0.5310,0.1054,0.5040,0.0055,0.5172,8
0.3000,8,50,0.5159,0.0792,0.5065,0.0122,0.5112,8
0.3000,16,16,0.6222,0.0382,0.6114,0.0282,0.6167,8
0.3000,32,14,0.6633,0.0212,0.6006,0.0309,0.6304,8
0.3000,64,25,0.6901,0.0287,0.6200,0.0339,0.6531,8
0.4000,2,3,0.3531,0.0929,0.5525,0.0389,0.4309,8
0.4000,4,50,0.4221,0.0673,0.5035,0.0044,0.4592,8
0.4000,8,31,0.5257,0.0802,0.5053,0.0133,0.5153,8
0.4000,16,16,0.5958,0.0450,0.6020,0.0296,0.5989,8
0.4000,32,29,0.6107,0.0342,0.6213,0.0488,0.6160,5
0.4000,64,32,0.6663,0.0912,0.6148,0.0631,0.6395,3
0.5000,2,3,0.4480,0.0759,0.5589,0.0448,0.4973,8
0.5000,4,43,0.5296,0.0594,0.5038,0.0033,0.5164,5
0.5000,8,6,0.5445,0.0923,0.5449,0.0242,0.5447,8
0.5000,16,14,0.6461,0.0656,0.5962,0.0169,0.6201,8
0.5000,32,32,0.6933,0.0898,0.6509,0.0443,0.6714,4
0.5000,64,39,0.7036,0.0342,0.6370,0.0387,0.6687,5
